Precinct,Registered Voters,Ballots Cast,Rachel Ruttenberg,Patrick Hanley,Total Votes
EVANSTON 1-1,"1,338",176,60,87,147
EVANSTON 1-2,985,377,177,163,340
EVANSTON 1-3,"1,044",368,184,153,337
EVANSTON 1-4,"1,399",683,292,315,607
EVANSTON 2-1,"2,204",718,350,303,653
EVANSTON 2-2,809,302,166,121,287
EVANSTON 2-3,"1,210",327,161,137,298
EVANSTON 2-4,"1,533",519,239,234,473
EVANSTON 2-5,517,193,94,90,184
EVANSTON 3-1,"1,059",447,239,176,415
EVANSTON 3-2,"1,251",500,232,230,462
EVANSTON 3-3,"1,382",600,316,241,557
EVANSTON 3-4,"1,653",638,286,307,593
EVANSTON 3-5,"1,224",446,199,211,410
EVANSTON 4-1,600,244,113,120,233
EVANSTON 4-2,861,332,138,175,313
EVANSTON 4-3,758,231,109,101,210
EVANSTON 4-4,"1,480",746,387,314,701
EVANSTON 4-5,496,227,115,103,218
EVANSTON 4-6,"1,327",525,259,225,484
EVANSTON 4-7,536,217,106,90,196
EVANSTON 5-1,"1,526",353,159,159,318
EVANSTON 5-2,"1,660",440,204,189,393
EVANSTON 5-3,"1,685",359,150,176,326
EVANSTON 6-1,"1,487",680,271,361,632
EVANSTON 6-2,766,403,184,208,392
EVANSTON 6-3,794,380,191,170,361
EVANSTON 6-4,"1,557",734,291,385,676
EVANSTON 6-5,"1,301",584,272,288,560
EVANSTON 6-6,"1,348",631,296,295,591
EVANSTON 7-1,"1,440",678,341,295,636
EVANSTON 7-2,"1,644",703,285,381,666
EVANSTON 7-3,565,27,4,12,16
EVANSTON 7-4,835,432,212,192,404
EVANSTON 7-5,"1,373",602,291,253,544
EVANSTON 8-1,"1,163",394,217,152,369
EVANSTON 8-2,"1,050",286,144,126,270
EVANSTON 8-3,"1,004",200,99,86,185
EVANSTON 8-4,960,415,222,170,392
EVANSTON 8-5,"1,415",421,218,177,395
EVANSTON 9-1,851,307,152,137,289
EVANSTON 9-2,"1,792",835,443,341,784
EVANSTON 9-3,"1,387",607,311,267,578
EVANSTON 9-4,"1,501",665,306,314,620
EVANSTON 9-5,912,335,153,158,311
MAINE 31,"1,183",108,48,47,95
MAINE 44,712,162,60,85,145
MAINE 52,861,218,77,127,204
MAINE 74,895,161,77,73,150
MAINE 76,632,94,28,55,83
NEW TRIER 3,"1,061",329,102,201,303
NEW TRIER 6,716,0,0,0,0
NEW TRIER 8,926,143,22,100,122
NEW TRIER 9,"1,190",230,29,184,213
NEW TRIER 10,"1,089",209,30,158,188
NEW TRIER 11,"1,398",239,41,177,218
NEW TRIER 12,"1,309",214,33,172,205
NEW TRIER 13,"1,579",376,140,199,339
NEW TRIER 14,"1,230",236,45,170,215
