race,precinct,precinct_num,registered_voters,ballots_cast,candidate,votes,endorsed,vote_share,multi_candidate_race
US Senate,Northfield 1,1.0,1856,165,Kevin Ryan,6,FALSE,0.0364,FALSE
US Senate,Northfield 2,2.0,979,225,Kevin Ryan,5,FALSE,0.0222,FALSE
US Senate,Northfield 3,3.0,1754,322,Kevin Ryan,10,FALSE,0.0311,FALSE
US Senate,Northfield 4,4.0,1156,219,Kevin Ryan,10,FALSE,0.0457,FALSE
US Senate,Northfield 5,5.0,865,150,Kevin Ryan,6,FALSE,0.04,FALSE
US Senate,Northfield 6,6.0,1160,248,Kevin Ryan,7,FALSE,0.0282,FALSE
US Senate,Northfield 7,7.0,1578,377,Kevin Ryan,14,FALSE,0.0371,FALSE
US Senate,Northfield 8,8.0,1540,307,Kevin Ryan,13,FALSE,0.0423,FALSE
US Senate,Northfield 9,9.0,790,213,Kevin Ryan,14,FALSE,0.0657,FALSE
US Senate,Northfield 10,10.0,1036,201,Kevin Ryan,8,FALSE,0.0398,FALSE
US Senate,Northfield 11,11.0,1494,283,Kevin Ryan,7,FALSE,0.0247,FALSE
US Senate,Northfield 12,12.0,1705,439,Kevin Ryan,26,FALSE,0.0592,FALSE
US Senate,Northfield 13,13.0,989,194,Kevin Ryan,4,FALSE,0.0206,FALSE
US Senate,Northfield 14,14.0,1063,209,Kevin Ryan,12,FALSE,0.0574,FALSE
US Senate,Northfield 15,15.0,1884,433,Kevin Ryan,10,FALSE,0.0231,FALSE
US Senate,Northfield 16,16.0,1222,238,Kevin Ryan,8,FALSE,0.0336,FALSE
US Senate,Northfield 17,17.0,1839,267,Kevin Ryan,8,FALSE,0.03,FALSE
US Senate,Northfield 18,18.0,1382,312,Kevin Ryan,5,FALSE,0.016,FALSE
US Senate,Northfield 19,19.0,1361,297,Kevin Ryan,7,FALSE,0.0236,FALSE
US Senate,Northfield 20,20.0,1070,256,Kevin Ryan,6,FALSE,0.0234,FALSE
US Senate,Northfield 21,21.0,1581,380,Kevin Ryan,17,FALSE,0.0447,FALSE
US Senate,Northfield 22,22.0,1160,251,Kevin Ryan,6,FALSE,0.0239,FALSE
US Senate,Northfield 23,23.0,860,179,Kevin Ryan,7,FALSE,0.0391,FALSE
US Senate,Northfield 24,24.0,1013,251,Kevin Ryan,13,FALSE,0.0518,FALSE
US Senate,Northfield 25,25.0,1034,210,Kevin Ryan,13,FALSE,0.0619,FALSE
US Senate,Northfield 26,26.0,965,227,Kevin Ryan,11,FALSE,0.0485,FALSE
US Senate,Northfield 27,27.0,1495,209,Kevin Ryan,11,FALSE,0.0526,FALSE
US Senate,Northfield 28,28.0,2141,381,Kevin Ryan,17,FALSE,0.0446,FALSE
US Senate,Northfield 29,29.0,895,205,Kevin Ryan,8,FALSE,0.039,FALSE
US Senate,Northfield 30,30.0,1082,308,Kevin Ryan,14,FALSE,0.0455,FALSE
US Senate,Northfield 31,31.0,1413,260,Kevin Ryan,19,FALSE,0.0731,FALSE
US Senate,Northfield 32,32.0,1433,280,Kevin Ryan,9,FALSE,0.0321,FALSE
US Senate,Northfield 33,33.0,1078,94,Kevin Ryan,7,FALSE,0.0745,FALSE
US Senate,Northfield 34,34.0,776,193,Kevin Ryan,2,FALSE,0.0104,FALSE
US Senate,Northfield 35,35.0,1188,221,Kevin Ryan,11,FALSE,0.0498,FALSE
US Senate,Northfield 36,36.0,1106,194,Kevin Ryan,4,FALSE,0.0206,FALSE
US Senate,Northfield 37,37.0,1254,369,Kevin Ryan,17,FALSE,0.0461,FALSE
US Senate,Northfield 38,38.0,903,200,Kevin Ryan,13,FALSE,0.065,FALSE
US Senate,Northfield 39,39.0,702,121,Kevin Ryan,12,FALSE,0.0992,FALSE
US Senate,Northfield 40,40.0,816,127,Kevin Ryan,2,FALSE,0.0157,FALSE
US Senate,Northfield 41,41.0,909,252,Kevin Ryan,6,FALSE,0.0238,FALSE
US Senate,Northfield 42,42.0,1151,208,Kevin Ryan,7,FALSE,0.0337,FALSE
US Senate,Northfield 43,43.0,1183,238,Kevin Ryan,6,FALSE,0.0252,FALSE
US Senate,Northfield 44,44.0,811,200,Kevin Ryan,5,FALSE,0.025,FALSE
US Senate,Northfield 45,45.0,837,176,Kevin Ryan,5,FALSE,0.0284,FALSE
US Senate,Northfield 46,46.0,1441,259,Kevin Ryan,12,FALSE,0.0463,FALSE
US Senate,Northfield 47,47.0,1386,379,Kevin Ryan,16,FALSE,0.0422,FALSE
US Senate,Northfield 48,48.0,1015,210,Kevin Ryan,16,FALSE,0.0762,FALSE
US Senate,Northfield 49,49.0,1157,147,Kevin Ryan,5,FALSE,0.034,FALSE
US Senate,Northfield 50,50.0,1439,226,Kevin Ryan,2,FALSE,0.0088,FALSE
US Senate,Northfield 51,51.0,3043,630,Kevin Ryan,22,FALSE,0.0349,FALSE
US Senate,Northfield 52,52.0,904,277,Kevin Ryan,10,FALSE,0.0361,FALSE
US Senate,Northfield 53,53.0,1073,263,Kevin Ryan,7,FALSE,0.0266,FALSE
US Senate,Northfield 54,54.0,1740,384,Kevin Ryan,9,FALSE,0.0234,FALSE
US Senate,Northfield 55,55.0,1015,274,Kevin Ryan,10,FALSE,0.0365,FALSE
US Senate,Northfield 56,56.0,1466,311,Kevin Ryan,8,FALSE,0.0257,FALSE
US Senate,Northfield 57,57.0,820,166,Kevin Ryan,4,FALSE,0.0241,FALSE
US Senate,Northfield 58,58.0,604,100,Kevin Ryan,1,FALSE,0.01,FALSE
US Senate,Northfield Township Results,,71612,14715,Kevin Ryan,550,FALSE,0.0374,FALSE
US Senate,Northfield 1,1.0,1856,165,Robin Kelly,23,FALSE,0.1394,FALSE
US Senate,Northfield 2,2.0,979,225,Robin Kelly,16,FALSE,0.0711,FALSE
US Senate,Northfield 3,3.0,1754,322,Robin Kelly,22,FALSE,0.0683,FALSE
US Senate,Northfield 4,4.0,1156,219,Robin Kelly,39,FALSE,0.1781,FALSE
US Senate,Northfield 5,5.0,865,150,Robin Kelly,12,FALSE,0.08,FALSE
US Senate,Northfield 6,6.0,1160,248,Robin Kelly,32,FALSE,0.129,FALSE
US Senate,Northfield 7,7.0,1578,377,Robin Kelly,38,FALSE,0.1008,FALSE
US Senate,Northfield 8,8.0,1540,307,Robin Kelly,22,FALSE,0.0717,FALSE
US Senate,Northfield 9,9.0,790,213,Robin Kelly,17,FALSE,0.0798,FALSE
US Senate,Northfield 10,10.0,1036,201,Robin Kelly,21,FALSE,0.1045,FALSE
US Senate,Northfield 11,11.0,1494,283,Robin Kelly,18,FALSE,0.0636,FALSE
US Senate,Northfield 12,12.0,1705,439,Robin Kelly,50,FALSE,0.1139,FALSE
US Senate,Northfield 13,13.0,989,194,Robin Kelly,18,FALSE,0.0928,FALSE
US Senate,Northfield 14,14.0,1063,209,Robin Kelly,19,FALSE,0.0909,FALSE
US Senate,Northfield 15,15.0,1884,433,Robin Kelly,36,FALSE,0.0831,FALSE
US Senate,Northfield 16,16.0,1222,238,Robin Kelly,18,FALSE,0.0756,FALSE
US Senate,Northfield 17,17.0,1839,267,Robin Kelly,21,FALSE,0.0787,FALSE
US Senate,Northfield 18,18.0,1382,312,Robin Kelly,19,FALSE,0.0609,FALSE
US Senate,Northfield 19,19.0,1361,297,Robin Kelly,28,FALSE,0.0943,FALSE
US Senate,Northfield 20,20.0,1070,256,Robin Kelly,17,FALSE,0.0664,FALSE
US Senate,Northfield 21,21.0,1581,380,Robin Kelly,41,FALSE,0.1079,FALSE
US Senate,Northfield 22,22.0,1160,251,Robin Kelly,16,FALSE,0.0637,FALSE
US Senate,Northfield 23,23.0,860,179,Robin Kelly,15,FALSE,0.0838,FALSE
US Senate,Northfield 24,24.0,1013,251,Robin Kelly,29,FALSE,0.1155,FALSE
US Senate,Northfield 25,25.0,1034,210,Robin Kelly,30,FALSE,0.1429,FALSE
US Senate,Northfield 26,26.0,965,227,Robin Kelly,18,FALSE,0.0793,FALSE
US Senate,Northfield 27,27.0,1495,209,Robin Kelly,33,FALSE,0.1579,FALSE
US Senate,Northfield 28,28.0,2141,381,Robin Kelly,30,FALSE,0.0787,FALSE
US Senate,Northfield 29,29.0,895,205,Robin Kelly,16,FALSE,0.078,FALSE
US Senate,Northfield 30,30.0,1082,308,Robin Kelly,31,FALSE,0.1006,FALSE
US Senate,Northfield 31,31.0,1413,260,Robin Kelly,26,FALSE,0.1,FALSE
US Senate,Northfield 32,32.0,1433,280,Robin Kelly,21,FALSE,0.075,FALSE
US Senate,Northfield 33,33.0,1078,94,Robin Kelly,9,FALSE,0.0957,FALSE
US Senate,Northfield 34,34.0,776,193,Robin Kelly,14,FALSE,0.0725,FALSE
US Senate,Northfield 35,35.0,1188,221,Robin Kelly,23,FALSE,0.1041,FALSE
US Senate,Northfield 36,36.0,1106,194,Robin Kelly,13,FALSE,0.067,FALSE
US Senate,Northfield 37,37.0,1254,369,Robin Kelly,39,FALSE,0.1057,FALSE
US Senate,Northfield 38,38.0,903,200,Robin Kelly,30,FALSE,0.15,FALSE
US Senate,Northfield 39,39.0,702,121,Robin Kelly,16,FALSE,0.1322,FALSE
US Senate,Northfield 40,40.0,816,127,Robin Kelly,10,FALSE,0.0787,FALSE
US Senate,Northfield 41,41.0,909,252,Robin Kelly,18,FALSE,0.0714,FALSE
US Senate,Northfield 42,42.0,1151,208,Robin Kelly,13,FALSE,0.0625,FALSE
US Senate,Northfield 43,43.0,1183,238,Robin Kelly,24,FALSE,0.1008,FALSE
US Senate,Northfield 44,44.0,811,200,Robin Kelly,17,FALSE,0.085,FALSE
US Senate,Northfield 45,45.0,837,176,Robin Kelly,9,FALSE,0.0511,FALSE
US Senate,Northfield 46,46.0,1441,259,Robin Kelly,17,FALSE,0.0656,FALSE
US Senate,Northfield 47,47.0,1386,379,Robin Kelly,27,FALSE,0.0712,FALSE
US Senate,Northfield 48,48.0,1015,210,Robin Kelly,12,FALSE,0.0571,FALSE
US Senate,Northfield 49,49.0,1157,147,Robin Kelly,23,FALSE,0.1565,FALSE
US Senate,Northfield 50,50.0,1439,226,Robin Kelly,25,FALSE,0.1106,FALSE
US Senate,Northfield 51,51.0,3043,630,Robin Kelly,52,FALSE,0.0825,FALSE
US Senate,Northfield 52,52.0,904,277,Robin Kelly,24,FALSE,0.0866,FALSE
US Senate,Northfield 53,53.0,1073,263,Robin Kelly,26,FALSE,0.0989,FALSE
US Senate,Northfield 54,54.0,1740,384,Robin Kelly,20,FALSE,0.0521,FALSE
US Senate,Northfield 55,55.0,1015,274,Robin Kelly,18,FALSE,0.0657,FALSE
US Senate,Northfield 56,56.0,1466,311,Robin Kelly,39,FALSE,0.1254,FALSE
US Senate,Northfield 57,57.0,820,166,Robin Kelly,18,FALSE,0.1084,FALSE
US Senate,Northfield 58,58.0,604,100,Robin Kelly,5,FALSE,0.05,FALSE
US Senate,Northfield Township Results,,71612,14715,Robin Kelly,1333,FALSE,0.0906,FALSE
US Senate,Northfield 1,1.0,1856,165,Juliana Stratton,72,TRUE,0.4364,FALSE
US Senate,Northfield 2,2.0,979,225,Juliana Stratton,129,TRUE,0.5733,FALSE
US Senate,Northfield 3,3.0,1754,322,Juliana Stratton,142,TRUE,0.441,FALSE
US Senate,Northfield 4,4.0,1156,219,Juliana Stratton,79,TRUE,0.3607,FALSE
US Senate,Northfield 5,5.0,865,150,Juliana Stratton,67,TRUE,0.4467,FALSE
US Senate,Northfield 6,6.0,1160,248,Juliana Stratton,111,TRUE,0.4476,FALSE
US Senate,Northfield 7,7.0,1578,377,Juliana Stratton,131,TRUE,0.3475,FALSE
US Senate,Northfield 8,8.0,1540,307,Juliana Stratton,127,TRUE,0.4137,FALSE
US Senate,Northfield 9,9.0,790,213,Juliana Stratton,85,TRUE,0.3991,FALSE
US Senate,Northfield 10,10.0,1036,201,Juliana Stratton,88,TRUE,0.4378,FALSE
US Senate,Northfield 11,11.0,1494,283,Juliana Stratton,95,TRUE,0.3357,FALSE
US Senate,Northfield 12,12.0,1705,439,Juliana Stratton,153,TRUE,0.3485,FALSE
US Senate,Northfield 13,13.0,989,194,Juliana Stratton,67,TRUE,0.3454,FALSE
US Senate,Northfield 14,14.0,1063,209,Juliana Stratton,72,TRUE,0.3445,FALSE
US Senate,Northfield 15,15.0,1884,433,Juliana Stratton,193,TRUE,0.4457,FALSE
US Senate,Northfield 16,16.0,1222,238,Juliana Stratton,82,TRUE,0.3445,FALSE
US Senate,Northfield 17,17.0,1839,267,Juliana Stratton,94,TRUE,0.3521,FALSE
US Senate,Northfield 18,18.0,1382,312,Juliana Stratton,142,TRUE,0.4551,FALSE
US Senate,Northfield 19,19.0,1361,297,Juliana Stratton,110,TRUE,0.3704,FALSE
US Senate,Northfield 20,20.0,1070,256,Juliana Stratton,86,TRUE,0.3359,FALSE
US Senate,Northfield 21,21.0,1581,380,Juliana Stratton,150,TRUE,0.3947,FALSE
US Senate,Northfield 22,22.0,1160,251,Juliana Stratton,97,TRUE,0.3865,FALSE
US Senate,Northfield 23,23.0,860,179,Juliana Stratton,63,TRUE,0.352,FALSE
US Senate,Northfield 24,24.0,1013,251,Juliana Stratton,110,TRUE,0.4382,FALSE
US Senate,Northfield 25,25.0,1034,210,Juliana Stratton,91,TRUE,0.4333,FALSE
US Senate,Northfield 26,26.0,965,227,Juliana Stratton,97,TRUE,0.4273,FALSE
US Senate,Northfield 27,27.0,1495,209,Juliana Stratton,80,TRUE,0.3828,FALSE
US Senate,Northfield 28,28.0,2141,381,Juliana Stratton,168,TRUE,0.4409,FALSE
US Senate,Northfield 29,29.0,895,205,Juliana Stratton,98,TRUE,0.478,FALSE
US Senate,Northfield 30,30.0,1082,308,Juliana Stratton,105,TRUE,0.3409,FALSE
US Senate,Northfield 31,31.0,1413,260,Juliana Stratton,96,TRUE,0.3692,FALSE
US Senate,Northfield 32,32.0,1433,280,Juliana Stratton,127,TRUE,0.4536,FALSE
US Senate,Northfield 33,33.0,1078,94,Juliana Stratton,34,TRUE,0.3617,FALSE
US Senate,Northfield 34,34.0,776,193,Juliana Stratton,56,TRUE,0.2902,FALSE
US Senate,Northfield 35,35.0,1188,221,Juliana Stratton,99,TRUE,0.448,FALSE
US Senate,Northfield 36,36.0,1106,194,Juliana Stratton,82,TRUE,0.4227,FALSE
US Senate,Northfield 37,37.0,1254,369,Juliana Stratton,146,TRUE,0.3957,FALSE
US Senate,Northfield 38,38.0,903,200,Juliana Stratton,84,TRUE,0.42,FALSE
US Senate,Northfield 39,39.0,702,121,Juliana Stratton,40,TRUE,0.3306,FALSE
US Senate,Northfield 40,40.0,816,127,Juliana Stratton,51,TRUE,0.4016,FALSE
US Senate,Northfield 41,41.0,909,252,Juliana Stratton,94,TRUE,0.373,FALSE
US Senate,Northfield 42,42.0,1151,208,Juliana Stratton,63,TRUE,0.3029,FALSE
US Senate,Northfield 43,43.0,1183,238,Juliana Stratton,101,TRUE,0.4244,FALSE
US Senate,Northfield 44,44.0,811,200,Juliana Stratton,76,TRUE,0.38,FALSE
US Senate,Northfield 45,45.0,837,176,Juliana Stratton,53,TRUE,0.3011,FALSE
US Senate,Northfield 46,46.0,1441,259,Juliana Stratton,128,TRUE,0.4942,FALSE
US Senate,Northfield 47,47.0,1386,379,Juliana Stratton,126,TRUE,0.3325,FALSE
US Senate,Northfield 48,48.0,1015,210,Juliana Stratton,73,TRUE,0.3476,FALSE
US Senate,Northfield 49,49.0,1157,147,Juliana Stratton,45,TRUE,0.3061,FALSE
US Senate,Northfield 50,50.0,1439,226,Juliana Stratton,91,TRUE,0.4027,FALSE
US Senate,Northfield 51,51.0,3043,630,Juliana Stratton,236,TRUE,0.3746,FALSE
US Senate,Northfield 52,52.0,904,277,Juliana Stratton,109,TRUE,0.3935,FALSE
US Senate,Northfield 53,53.0,1073,263,Juliana Stratton,78,TRUE,0.2966,FALSE
US Senate,Northfield 54,54.0,1740,384,Juliana Stratton,131,TRUE,0.3411,FALSE
US Senate,Northfield 55,55.0,1015,274,Juliana Stratton,96,TRUE,0.3504,FALSE
US Senate,Northfield 56,56.0,1466,311,Juliana Stratton,119,TRUE,0.3826,FALSE
US Senate,Northfield 57,57.0,820,166,Juliana Stratton,77,TRUE,0.4639,FALSE
US Senate,Northfield 58,58.0,604,100,Juliana Stratton,32,TRUE,0.32,FALSE
US Senate,Northfield Township Results,,71612,14715,Juliana Stratton,5727,TRUE,0.3892,FALSE
US Senate,Northfield 1,1.0,1856,165,Raja Krishnamoorthi,55,FALSE,0.3333,FALSE
US Senate,Northfield 2,2.0,979,225,Raja Krishnamoorthi,72,FALSE,0.32,FALSE
US Senate,Northfield 3,3.0,1754,322,Raja Krishnamoorthi,142,FALSE,0.441,FALSE
US Senate,Northfield 4,4.0,1156,219,Raja Krishnamoorthi,78,FALSE,0.3562,FALSE
US Senate,Northfield 5,5.0,865,150,Raja Krishnamoorthi,53,FALSE,0.3533,FALSE
